track_name,track_artist,track_album_release_date,playlist_genre
This D.J.,Warren G,6/7/94,rap
Time to Ride,Living Legends,4/6/04,rap
Who Ride Wit Us,Kurupt,10/24/12,rap
The Recipe - Bonus Track,Kendrick Lamar,2012,rap
Dibiase,03 Greedo,6/27/18,rap
Cali Sunshine,The Game,1/1/08,rap
Loyal To The Game - DJ Quik Remix (Explicit),2Pac,1/1/04,rap
Let It Out,Tha Alkaholiks,1995,rap
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,1/12/18,rap
Double Up (feat. Belly and Dom Kennedy),Nipsey Hussle,2/16/18,rap
Sunshine Men,Freestyle Fellowship,7/6/99,rap
1994,Quasimoto,5/3/05,rap
Runnin',The Pharcyde,1/1/95,rap
Lausd,Jurassic 5,1/1/00,rap
Let's Ride,The Game,1/1/06,rap
Los Angeles Times,Xzibit,11/8/99,rap
2 Of Amerikaz Most Wanted,2Pac,2/13/96,rap
Eazy-er Said Than Dunn,Eazy-E,9/13/88,rap
Nothin' But The Cavi Hit,Mack 10,1/1/07,rap
Numb Numb Juice,ScHoolboy Q,4/26/19,rap
Impatient Freestyle,Drakeo the Ruler,4/7/17,rap
Posted,Pac Div,11/8/11,rap
Quik's Groove,DJ Quik,1991,rap
"I Luv It (feat. Kokane, Sir Dogg & Snoopy Collins)",Kokane,7/31/01,rap
"Initiated (feat. 2Pac a.k.a. Makaveli, Outlawz & Kurupt Tha Kingpin)",Daz Dillinger,1998,rap
Never Leave Me Alone,Nate Dogg,1998,rap
Straight Up Menace,MC Eiht,9/21/10,rap
I Used To Love Her (Again),Murs & 9th Wonder,4/13/10,rap
Beat Streaming,Abstract Rude,7/21/17,rap
Burgundy Whip - Instrumental,MED,2/19/13,rap
"Lakers (feat. Ab-Soul, Polyester the Saint)",Freddie Gibbs,3/18/14,rap
ATL Hoe,Baby D.,2002,rap
Dope Boyz,T.I.,10/1/01,rap
Make 'Em Say Ugh,Master P,1/1/05,rap
Tear Da Club Up '97,Three 6 Mafia,11/4/97,rap
Ridin Wit Some Killaz,Hitman Sammy Sam,9/19/06,rap
Space Age Pimpin',8Ball & MJG,10/31/95,rap
Love in Your Mouth,Kilo Ali,4/15/17,rap
Throw It Up,Pastor Troy,10/29/02,rap
Nann Nigga,Trick Daddy,3/30/99,rap
Who U Wit,Lil Jon & The East Side Boyz,3/15/11,rap
Eastside Vs. Westside,Baby D.,2002,rap
One Day,UGK,6/12/03,rap
Put Yo Hood Up,Lil Jon & The East Side Boyz,3/15/11,rap
Nextel Chirp,Maceo,8/23/05,rap
Ain't Gon Let Up,DG Yola,6/27/06,rap
Southern Hospitality (Featuring Pharrell),Ludacris,1/1/00,rap
Be Easy,T.I.,8/19/03,rap
Cell Therapy,Goodie Mob,2003,rap
Damn! - Radio Mix,Youngbloodz,1/1/90,rap
400 Degreez,Juvenile,1/1/98,rap
Mind Playing Tricks on Me,Geto Boys,7/2/91,rap
Move Bitch,Disturbing Tha Peace,1/1/01,rap
Let Me See It,UGK,1/1/90,rap
Head Bussa (feat. Lil Jon),Lil Scrappy,9/2/03,rap
On My Block,Scarface,1/1/09,rap
Get Ya Mind Right,Jeezy,1/1/05,rap
Hustlin' - Album Version (Edited),Rick Ross,1/1/06,rap
Nothins Free,Oobie,10/29/02,rap
Hit a Muthafucka,Three 6 Mafia,11/4/97,rap
Elevators (Me & You),OutKast,8/27/96,rap
No Problem,Lil Scrappy,8/21/09,rap
Neva Eva (feat. Lil Scrappy & Lil Jon),Trillville,2003,rap
"Front, Back & Side to Side",UGK,4/11/94,rap
Wanna Be A Balla,Fat Pat,2001,rap
Dirty South (feat. Big Boi),Goodie Mob,11/7/95,rap
Mr. Scarface,Scarface,1991,rap
Back That Azz Up,Juvenile,1/1/04,rap
We Ready,Archie Eversole,1/1/02,rap
Vica Versa,Pastor Troy,1/1/02,rap
Still Fly,Big Tymers,1/1/02,rap
Ain't Gonna Let Up,Yola,2006,rap
Like A Pimp,David Banner,1/1/03,rap
Get Low featuring Ying Yang Twins,Lil Jon & The East Side Boyz,3/15/11,rap
Still Ridin' Clean,Project Pat,7/16/02,rap
Trap House,Gucci Mane,11/7/08,rap
Go Crazy - Remix,Jeezy,1/1/05,rap
Shake Ya Ass,Mystikal,5/26/10,rap
24's,T.I.,8/19/03,rap
Break 'Em Off Somethin' - Edited,Master P,1/1/05,rap
Stuntin' Like My Daddy,Birdman,1/1/08,rap
Do It,Rasheeda,2000,rap
Walk It Out Remix feat OutKast & Jim Jones,Unk,2/6/07,rap
Tired Of Ballin,Tela,11/5/96,rap
Southside,Lil Keke,11/17/09,rap
Murder,UGK,7/30/96,rap
85/Billy Dee Interlude,Youngbloodz,1999,rap
Laffy Taffy,D4L,11/8/05,rap
Never Scared (feat. Killer Mike & T.I.) - Club Mix,Bone Crusher,4/29/03,rap
Bia' Bia',Lil Jon,8/15/00,rap
That's Right,DJ Taz,1/1/97,rap
Dem Boyz,Boyz N Da Hood,6/21/05,rap
"Lean Wit It, Rock Wit It - feat. Peanut & Charlay",Dem Franchize Boyz,2005,rap
Down For My Niggaz,C-Murder,1/1/05,rap
No Mo Play In G.A.,Pastor Troy,1999,rap
Set It Off,Boosie Badazz,10/24/06,rap
25 Lighters,Fat Pat,2001,rap
Go DJ,Lil Wayne,1/1/04,rap
Duffle Bag Boy,Playaz Circle,2007,rap
Choices,Project Pat,9/14/99,rap
#1 Stunna,Big Tymers,1/1/00,rap
Knuck If You Buck (feat. Lil' Scrappy),Crime Mob,7/6/04,rap
Ha,Juvenile,1/1/98,rap
It's Goin' Down (feat. Nitti),Yung Joc,6/6/06,rap
"I'm Bout It, Bout It",TRU,1/1/06,rap
Dey Know,Shawty Lo,1/18/13,rap
U Don't Know Me,T.I.,11/29/04,rap
Shoulder Lean,Young Dro,2/15/11,rap
Where Dem Dollas At (feat. DJ Paul & Juicy J),Gangsta Boo,9/29/98,rap
Get'Em,Intoxicated,1999,rap
Trap Or Die,Jeezy,1/1/05,rap
DUI,Oomp Camp,2001,rap
Intoxicated,Hitman Sammy Sam,9/19/06,rap
Icy,Gucci Mane feat. Young Jeezy,11/7/08,rap
Here I Go,Mystikal,10/5/95,rap
A.D.I.D.A.S. - Explicit Album Version,Killer Mike,5/12/03,rap
Wheelz of Steel,OutKast,8/27/96,rap
Pocket Full of Stones,UGK,11/10/92,rap
ASAP,T.I.,11/29/04,rap
Who Run It,Three 6 Mafia,6/13/00,rap
Can't Stop No Player,Da Organization,2/19/10,rap
Shoulder Lean (feat. T.I.),Young Dro,6/27/06,rap
"My Neck, My Back",Khia,2002,rap
Scotty,D4L,11/8/05,rap
My Homeboy's Girlfriend,8Ball,5/19/98,rap
Ball And Bun,Bun B,5/19/98,rap
I Don't Wanna Die,8Ball,5/19/98,rap
Put Tha House Onit,8Ball,5/19/98,rap
Coffee Shoppe,Redman,5/19/98,rap
9 Little Millimeta Boys,8Ball & MJG,3/3/15,rap
Mr. Big,8Ball & MJG,3/3/15,rap
Pimps,8Ball & MJG,3/3/15,rap
Armed Robbery,8Ball & MJG,3/3/15,rap
Lay It Down,8Ball & MJG,3/3/15,rap
Break 'em Off,8Ball & MJG,10/31/95,rap
Hand Of The Devil,8Ball & MJG,10/31/95,rap
Paid Dues,8Ball,5/18/99,rap
Throw Your Hands Up,8Ball,5/18/99,rap
Just Like Candy,MJG,5/13/08,rap
Middle Of The Night,MJG,11/18/97,rap
Sho Nuff,Tela,11/5/96,rap
Stop Lying,Mr. Mike,7/9/96,rap
Where Ya Love At,Mr. Mike,7/9/96,rap
Total Shock,Mr. Mike,7/9/96,rap
New Day,South Circle,7/4/95,rap
Unsolved Mysteries,South Circle,7/4/95,rap
Pwa,5th Ward Boyz,8/15/13,rap
Concrete Hell,5th Ward Boyz,1995,rap
Bank Robbery,Facemob,8/15/13,rap
Swangin and Bangin,E.S.G.,2/1/94,rap
Braids & Fades - Feat. Slim Thug,E.S.G.,1999,rap
Realist Rhymin' - Feat. Lil’ Flip,E.S.G.,1999,rap
Ever So Clear,Bushwick Bill,9/8/92,rap
Diary Of A Madman,Scarface,1991,rap
Money And The Power,Scarface,1991,rap
The Wall,Scarface,1993,rap
Now I Feel Ya,Scarface,1993,rap
I Seen a Man Die,Scarface,1994,rap
Hand of the Dead Body,Scarface,1994,rap
Southside,Scarface,1997,rap
Mary Jane,Scarface,1997,rap
Smartz,Scarface,1997,rap
2 Real,Scarface,1998,rap
In My Blood,Scarface,1998,rap
Greed,Scarface,1998,rap
Homies & Thuggs,Scarface,1998,rap
Damn It Feels Good to Be a Gangsta,Geto Boys,11/17/92,rap
Still,Geto Boys,4/2/96,rap
The World Is a Ghetto,Geto Boys,4/2/96,rap
Time Taker,Geto Boys,4/2/96,rap
Geto Fantasy,Geto Boys,4/2/96,rap
It Ain't,Geto Boys,3/9/93,rap
No Nuts No Glory,Geto Boys,3/9/93,rap
Six Feet Deep,Geto Boys,3/9/93,rap
Murder After Midnight,Geto Boys,3/9/93,rap
Straight Gangstaism,Geto Boys,3/9/93,rap
Bring It On,Geto Boys,3/9/93,rap
Do Yo Time,Geto Boys,11/17/98,rap
Free,Geto Boys,11/17/98,rap
They B's,Geto Boys,11/17/98,rap
Gansta (Put Me Down),Geto Boys,11/17/98,rap
Big Faces,Geto Boys,11/17/98,rap
Street Game,Geto Boys,11/17/98,rap
Pocket Full of Stones,UGK,3/14/14,rap
It's Supposed to Bubble,UGK,3/14/14,rap
"Front, Back & Side to Side",UGK,3/14/14,rap
One Day,UGK,3/14/14,rap
Murder,UGK,3/14/14,rap
Good Stuff,UGK,3/14/14,rap
Diamonds & Wood,UGK,7/30/96,rap
Wood Wheel,UGK,11/11/01,rap
F**k Faces,Scarface,1998,rap
Do What You Want,Scarface,1998,rap
Boo Boo'n,Scarface,1998,rap
Sticky Green,Devin The Dude,8/15/13,rap
Black Ice (Sky High) (feat. OutKast),Goodie Mob,4/7/98,rap
Soul Food,Goodie Mob,11/7/95,rap
Thought Process,Goodie Mob,11/7/95,rap
Southside,Lil Keke,6/3/08,rap
Don’t Mess Wit Texas,Lil Keke,1998,rap
Baller In The Mix,Lil Keke,1998,rap
"Pimps, Players & Hustlas",Lil Keke,1998,rap
Tops Drop,Fat Pat,2001,rap
25 Lighters,DJ DMD,5/27/04,rap
Ghetto Dreams,Fat Pat,2001,rap
How Ya Do Dat,Young Bleed,1/1/98,rap
Burbons And Lacs,Master P,1997,rap
"Bout It, Bout It II",Master P,1996,rap
Pass Me Da Green,Master P,1997,rap
Mr. Ice Cream Man,Master P,1996,rap
Is There A Heaven For A Gangsta?,Master P,1/1/05,rap
Bang Screw,Lil C,4/10/12,rap
Maan!!,Big Moe featuring E.S.G. & Big Pokey,2000,rap
Life Story (feat. Al-D & Bam),Z-Ro,6/16/98,rap
Who Dat Talking Down,Big Pokey,7/20/99,rap
Hardest Pit,Big Pokey,7/20/99,rap
Ballin' Parlay,Big Pokey,7/20/99,rap
Da Summa,Three 6 Mafia,5/9/95,rap
Rock Yo Hips,Crime Mob,1/8/07,rap
Get Low,Ying Yang Twins,10/29/02,rap
Low (feat. T-Pain),Flo Rida,3/17/08,rap
"My Neck, My Back (Lick It)",Khia,5/5/15,rap
Grillz - Dirty,Nelly,11/25/05,rap
Cell Therapy,Goodie Mob,11/7/95,rap
Ridin',Chamillionaire,1/1/05,rap
Slob on My Knob,Tear Da Club Up Thugs,2/2/99,rap
Mo Fire,Lil Wayne,1/1/05,rap
Ghetto Life,Master P,1/1/98,rap
Touchdown (feat. Eminem),T.I.,6/12/07,rap
The Way I Are,Timbaland,1/1/07,rap
Tha Crossroads,Bone Thugs-N-Harmony,7/25/95,rap
This Is Why I'm Hot,MiMS,1/1/07,rap
Ride Wit Me,Nelly,6/27/00,rap
Crank That (Soulja Boy),Soulja Boy,1/1/07,rap
Lollipop,Lil Wayne,1/1/08,rap
I Wanna Love You,Akon,2006,rap
I'm A G,Rick Ross,1/1/06,rap
Murder Avenue,Geto Boys,3/9/93,rap
Coming 2 America,Ludacris,1/1/01,rap
Decatur Psalm,OutKast,8/27/96,rap
You Know What It Is (feat. Wyclef Jean),T.I.,6/12/07,rap
Crept and We Came,Bone Thugs-N-Harmony,7/25/95,rap
Damn! - Club Mix,Youngbloodz,7/25/03,rap
War Wounds,Master P,1/1/98,rap
Weezy Baby,Lil Wayne,1/1/05,rap
Whatcha Know (featuring Big Gipp),Three 6 Mafia,6/13/00,rap
Constantly 'N Danger,C-Murder,1/1/98,rap
Kisha,Lil Wayne,1/1/99,rap
Number One Spot,Ludacris,1/1/04,rap
A Milli,Lil Wayne,1/1/08,rap
"Contract (feat. 8 Ball, MJG)",8Ball,11/16/04,rap
Cereal Killer,Geto Boys,3/9/93,rap
This Is 4 My,Silkk The Shocker,1/1/99,rap
In Da Club,Lil Jon & The East Side Boyz,11/16/04,rap
Dilemma,Nelly,6/25/02,rap
Oh No,Lil Wayne,1/1/05,rap
F--- The Ying Yang Twins,Ying Yang Twins,6/28/05,rap
Take a Bump,Three 6 Mafia,6/13/00,rap
"Soldiers, Riders, & G's",Master P,1/1/98,rap
Fuckin With Me,Juvenile,1/1/03,rap
"After Dollars, No Cents",Master P,1997,rap
Hot In Herre,Nelly,6/25/02,rap
Look What I Got,T.I.,8/19/03,rap
Rollout (My Business),Ludacris,1/1/01,rap
I Just Wanna Die,Geto Boys,4/2/96,rap
Wait (The Whisper Song),Ying Yang Twins,6/28/05,rap
Snitch,Lil Wayne,1/1/04,rap
Hanh!,Ying Yang Twins,9/16/03,rap
Wailin',OutKast,8/27/96,rap
Gangsta B,Master P,1/1/98,rap
Remember Me,Lil Wayne,1/1/99,rap
Throw Yo Hood Up,Silkk The Shocker,1/1/98,rap
Back That Azz Up,Juvenile,1/1/98,rap
Handle the Vibe,Bone Thugs-N-Harmony,1997,rap
Screwed Up,Ludacris,1/1/03,rap
Play Wit Pussy,Mia X,10/27/98,rap
I Got That Fire,Juvenile,1/1/99,rap
Eternity,Master P,1/1/98,rap
Mama Always Told Me,Silkk The Shocker,1/1/98,rap
Southern Fried Intro,Ludacris,1/1/03,rap
One Night Stand,Lil Jon & The East Side Boyz,11/16/04,rap
Im Not a Gentleman,Geto Boys,7/2/91,rap
Mamacita,OutKast,9/29/98,rap
Greed Hate Envy,Nelly,6/27/00,rap
Guerrilla,Juvenile,1/1/99,rap
Georgia Dome (Get Low Sequel),Ying Yang Twins,9/16/03,rap
Somebody Like Me,Silkk The Shocker,1/1/99,rap
Duck & Run,C-Murder,1/1/98,rap
The Heat,Lil Wayne,1/1/04,rap
West Savannah,OutKast,9/29/98,rap
"No Shorts, No Losses",Bone Thugs-N-Harmony,7/25/95,rap
You & Me,Mia X,1/1/97,rap
Put Your Money,Ludacris,1/1/04,rap
Picture Me,C-Murder,1/1/98,rap
It Ain't My Fault,Silkk The Shocker,1/1/98,rap
Fuck Tha World,Lil Wayne,1/1/99,rap
Numb Numb,Juvenile,1/1/03,rap
You Ain't Gotta Lie To Kick It,Silkk The Shocker,1/1/98,rap
She Said,Ludacris,1/1/01,rap
Bring It On,Mia X,10/27/98,rap
Respect Us,Lil Wayne,1/1/99,rap
What You Know,T.I.,3/27/06,rap
Armageddon,Ying Yang Twins,9/16/03,rap
Tho Dem Wraps,Nelly,6/27/00,rap
Hit a Muthafucka,Three 6 Mafia,11/1/97,rap
What They Do (feat. BG),T.I.,11/29/04,rap
Stop Hatin,Master P,1997,rap
Whatcha Wanna Do,Mia X,10/27/98,rap
1st & 10 (Featuring Infamous 2-0 & Fate Wilson),Ludacris,1/1/00,rap
Holiday,Rockie Fresh,12/24/19,rap
Need Somebody To Talk To,Sexton,12/20/19,rap
"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX",DJ Snake,12/27/19,rap
Barbie Doll,THE TRASH MERMAIDS,11/1/19,rap
Where the Moon Hides,GARZA,11/22/19,rap
40 Bandz,Ducko McFli,12/12/19,rap
Forever Scarred,FG Famous,11/16/18,rap
Sweet Sweet,Taliwhoah,11/22/19,rap
I'm Winnin',Hunidrack6,3/18/19,rap
Sunday Best,Surfaces,1/6/19,rap
Thraa,Doje,11/15/19,rap
Blue,Dolo Tonight,9/3/19,rap
All You Need To Know (feat. Calle Lehmann),Gryffin,3/27/19,rap
50,Mudd Bughatti,9/7/19,rap
Glocks & Drums,Lil Mexico,12/4/19,rap
Cudos,Breadwinna Gdawg,12/4/19,rap
Waiting On A Better Day,Sexton,12/6/19,rap
WORDS,Deanna Brooke,7/26/19,rap
TALK,Ella Collier,11/7/19,rap
Love Da Way,JonEcks,1/31/19,rap
Pose (feat. Lil Uzi Vert),Yo Gotti,8/23/19,rap
Pookie (feat. Lil Pump) - Remix,Aya Nakamura,8/2/19,rap
Behind Me,Lil Bike,11/1/19,rap
Baguettes (feat. Gunna),Smokepurpp,5/10/19,rap
Once Again,Quality Control,8/9/19,rap
CHECK,Kennedy Stephens,9/23/19,rap
Year of the Update,Swim.,11/22/19,rap
Yung World,YunginReckless,11/25/19,rap
Winnie Tha Pxxh,Gxx,8/23/19,rap
Bad Bad Bad (feat. Lil Baby),Young Thug,8/16/19,rap
Pink Lemonade,Dolo Tonight,9/1/19,rap
"Pink Toes (Offset, DaBaby feat. Gunna)",Quality Control,8/16/19,rap
I Bleed Stars,All Fires,4/12/19,rap
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,6/28/19,rap
100 Shooters (feat. Meek Mill),Future,7/12/19,rap
Too High,Dolo Tonight,9/1/19,rap
It's Like That,Run–D.M.C.,9/10/02,rap
Still D.R.E.,Dr. Dre,1/1/99,rap
Work It,Missy Elliott,11/11/02,rap
Get Busy,Sean Paul,11/12/02,rap
Kingdom Come,Demi Lovato,10/16/15,rap
11-Jul,Beyoncé,11/24/14,rap
Milkshake,Kelis,2008,rap
Bitch Better Have My Money,Rihanna,3/26/15,rap
CoCo,O.T. Genasis,11/10/14,rap
Glow Up,Meek Mill,5/22/17,rap
The Water Dance (feat. Pitbull),Chris Porter,7/14/15,rap
Mek It Bunx Up,DeeWunn,10/3/13,rap
Lay Up,Future,1/15/16,rap
Swine,Lady Gaga,1/1/13,rap
Pretty Girls,Britney Spears,5/4/15,rap
Dark Horse feat. Juicy J (Originally Performed By Katy Perry) [Karaoke Version],Paris Music,2/25/14,rap
One Minute Man (feat. Ludacris),Missy Elliott,5/14/01,rap
World Boss - Twerk Remix,Twerkteam,2/20/15,rap
Diddy Pop,Spol,5/13/14,rap
Go Fuck Yourself,Two Feet,7/29/16,rap
F*ck Up Some Commas,Future,7/17/15,rap
Birds,Migos,6/3/14,rap
Best Friend,Young Thug,11/20/15,rap
Bake Sale (feat. Travis Scott),Wiz Khalifa,1/22/16,rap
Jealous,Beyoncé,11/24/14,rap
Lotta Gang Shit (feat. Young Famous),600 Breezy,7/15/15,rap
Faneto,Chief Keef,11/18/14,rap
4 Minutes Of Hell Pt. 3,G Herbo,8/19/14,rap
Rich N**ga Timeline,Migos,11/5/14,rap
Mula (feat. 3 Glizzy),Shy Glizzy,2/17/14,rap
Black Connection,Camp Lo,1/28/97,rap
Check,Young Thug,4/16/15,rap
Round Hear,La Capone,4/25/14,rap
"Shook Ones, Pt. II",Mobb Deep,4/25/95,rap
Kobe,Chief Keef,1/1/12,rap
Trylogy,Kurupt,10/24/12,rap
Hell on Earth (Front Lines),Mobb Deep,11/19/96,rap
So Much Pain,S.A.S,9/29/14,rap
Paparazzi - Live,Xzibit,11/8/96,rap
Shout,S.A.S.,12/2/13,rap
Gang,Lil Reese,6/30/15,rap
Gangster Trippin,Fatboy Slim,10/19/98,rap
Black Skinhead,Kanye West,1/1/13,rap
Panda,Desiigner,2/26/16,rap
Jersey,Future,9/20/15,rap
Bad and Boujee (feat. Lil Uzi Vert),Migos,10/28/16,rap
Que Passa Amigo,Tropkillaz,10/30/15,rap
Mutant Brain,Sam Spiegel,8/26/16,rap
Let Me Love You,DJ Snake,8/5/16,rap
Closer (feat. Halsey),The Chainsmokers,7/29/16,rap
Broccoli (feat. Lil Yachty),DRAM,9/5/16,rap
One Dance,Drake,5/6/16,rap
Cheerleader (Ricky Blaze Remix),OMI,4/8/14,rap
Banaan - (Bigger Better Anthem),Jebroer,6/30/15,rap
Let Me Clear My Throat - Old School Reunion Remix '96,DJ Kool,1/1/96,rap
Niykee Heaton (Fawks Remix),Brewski,3/18/16,rap
Niggas In Paris (Remade Instrumental Originally Recorded By Jay-Z & Kanye West),Niggas In Paris Instrumental,12/25/11,rap
Roll the Bass,Major Lazer,6/1/15,rap
Gold Digger,Kanye West,1/1/05,rap
Bashment,Ape Drums,3/4/14,rap
Feed Me Dope,Future,10/20/17,rap
Cut It (feat. Young Dolph),O.T. Genasis,9/25/15,rap
Kanye West (feat. Wyclef Jean),Young Thug,8/26/16,rap
What Money About,Bankroll Mafia,4/22/16,rap
Take That,The Game,11/14/14,rap
Came To Do,Chris Brown,9/12/14,rap
Privacy,Chris Brown,3/24/17,rap
HUMBLE.,Kendrick Lamar,4/14/17,rap
Black Beatles,Rae Sremmurd,8/12/16,rap
Pyramid Schemes,BOARCROK,8/14/15,rap
Needed Me,Rihanna,1/28/16,rap
I'd Love To Change The World - Matstubs Remix,Jetta,12/18/15,rap
Mind (feat. Kai),Jack Ü,2/24/15,rap
Forbes (feat. G-Eazy),Borgore,10/2/15,rap
Memo,Young Thug,3/25/16,rap
Barking,Ramz,12/1/17,rap
R.I.C.O. (feat. Drake),Meek Mill,6/29/15,rap
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,6/17/16,rap
THat Part,ScHoolboy Q,7/8/16,rap
Champions League,Krept & Konan,10/20/17,rap
Anaconda,Nicki Minaj,12/15/14,rap
Jumpman,Drake,9/20/15,rap
Bum Bum Tam Tam,MC Fioti,12/15/17,rap
Games,THIEVES,1/12/18,rap
Mi Gente (feat. Beyoncé),J Balvin,9/28/17,rap
Play for Keeps (feat. La Capone),Rondonumbanine,10/31/13,rap
Last Night In LA - Konan Freestyle,Krept & Konan,10/20/17,rap
How We Move (feat. King L),Lil Bibby,12/8/14,rap
Abusadamente,MC Gustta,7/25/17,rap
Iggy SZN,Iggy Azalea,10/20/14,rap
#Twerkit,Busta Rhymes,1/1/13,rap
Bartier Cardi (feat. 21 Savage),Cardi B,12/22/17,rap
Bad Man,Missy Elliott,7/4/05,rap
Boy Oh Boy,Good Times Ahead,7/29/14,rap
Rude Boy,Rihanna,11/20/09,rap
Evil Ways (Justice Mix),Blues Saraceno,2/27/15,rap
Missile,Dorothy,6/24/16,rap
Wicked Games,The Hot Damns,7/17/14,rap
Ready Set Let's Go,Sam Tinnesz,5/20/16,rap
Joker And The Thief,Wolfmother,1/1/06,rap
Blame It on the Boom Boom,Black Stone Cherry,1/1/11,rap
Down To The Bottom,Dorothy,5/5/17,rap
Search and Destroy,All Good Things,7/15/13,rap
I'm a Wanted Man,Royal Deluxe,2/23/16,rap
Devils Got You Beat,Various Artists,2/1/16,rap
All For One,The Phantoms,5/14/14,rap
Raise Hell,Dorothy,6/24/16,rap
Black Betty,Ministry & Co-Conspirators,4/1/08,rap
Bad Man,Blues Saraceno,2/7/15,rap
That Thing You Do,Ellem,9/5/16,rap
Whiskey Fever,Dorothy,6/24/16,rap
Gunnin' for You,Nick Nolan,2/27/15,rap
The Stratosphere,Extreme Music,9/18/15,rap
Highway,Bleeker,10/21/16,rap
Devil’s Gonna Come,Various Artists,10/31/17,rap
If You Wanna Leave,Thorbjørn Risager,3/21/14,rap
Are You Satisfied?,Reignwolf,8/2/13,rap
Dogs of War,Blues Saraceno,5/6/14,rap
Pure Evil,Extreme Music,9/18/15,rap
Big & Loud,Nick Nolan,9/24/14,rap
Changed Man,Michael Burks,6/18/09,rap
Hawk Eyes,The Kicks,9/23/12,rap
A Girl Like You,Edwyn Collins,1994,rap
Wicked Ones,Dorothy,6/24/16,rap
I Get It My Way,Paul Otten,8/31/15,rap
The Heat,The Bones of J.R. Jones,4/15/16,rap
Suffocation Blues,Black Pistol Fire,9/16/15,rap
Green Machine,Kyuss,1/1/92,rap
So Come On,The Atomic Bitchwax,11/8/06,rap
The Bottle,Hermano,10/1/07,rap
Heavy/Like a Witch,All Them Witches,12/7/12,rap
Tired Old Dog,The Devil and the Almighty Blues,2/16/15,rap
Left Us To Mold,Unida,7/5/05,rap
Enter the Riffian,Wo Fat,1/1/09,rap
Die of Thirst,Gorilla Pulp,2016,rap
Willie Nelson,Clutch,7/5/05,rap
Hello To Oblivion,Formula,7/5/05,rap
Midnight Rider,The Allman Brothers Band,9/18/70,rap
She's Long Gone,The Black Keys,10/18/10,rap
Walk This Way (feat. Aerosmith),Run–D.M.C.,5/15/86,rap
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,1/1/00,rap
When Love Comes To Town,U2,10/10/88,rap
"Heartbroken, In Disrepair",Dan Auerbach,2/23/09,rap
Run Like The River,Vintage Trouble,8/14/15,rap
The Pusher,Steppenwolf,1968,rap
Can't You Hear Me Knocking - Remastered,The Rolling Stones,4/23/71,rap
Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,11/1/70,rap
I Gotsta Get Paid,ZZ Top,9/11/12,rap
The River,Various Artists,2/1/16,rap
King of Rock,Run–D.M.C.,1/21/85,rap
Blue on Black,Kenny Wayne Shepherd,9/26/97,rap
Call Me Devil,Friends in Tokyo,1/30/15,rap
Just Got Paid,ZZ Top,1972,rap
I'm Gonna Do My Thing,Royal Deluxe,2/10/15,rap
The Fear,The Score,2/1/19,rap
White Trash Millionaire,Black Stone Cherry,1/1/11,rap
Hell on Wheels,Nick Nolan,2/7/15,rap
Bad Romance - EP Version,Halestorm,3/22/11,rap
Asleep At The Wheel,Band Of Skulls,3/31/14,rap
Beast,Nico Vega,2/5/13,rap
Don't Stop the Devil,Dead Posey,8/14/18,rap
Me And Mary Jane,Black Stone Cherry,5/2/14,rap
When the Devil Calls,Blues Saraceno,5/6/14,rap
Old Time Rock & Roll,Bob Seger,5/5/78,rap
Heaven Knows,The Pretty Reckless,3/17/14,rap
Electric Man,Rival Sons,6/9/14,rap
Howl,Beware Of Darkness,3/5/13,rap
When The Curtain Falls,Greta Van Fleet,10/19/18,rap
Wild Thing,JAXSON GAMBLE,9/23/16,rap
Absolution,The Pretty Reckless,3/17/14,rap
Love Is Pain,Joan Jett & The Blackhearts,9/28/18,rap
I'm America,Cilver,4/29/16,rap
Rain Wizard,Black Stone Cherry,7/17/06,rap
Safari Song,Greta Van Fleet,11/10/17,rap
How We Do It,Royal Deluxe,2/23/16,rap
Get What's Coming,Rival Sons,1/14/11,rap
Get Up,Dorothy,2/5/16,rap
My Medicine - Single Version,The Pretty Reckless,1/1/10,rap
Easy Does It,Wildstreet,1/24/12,rap
Are You Gonna Go My Way,Lenny Kravitz,3/9/93,rap
Outshined,Soundgarden,10/8/91,rap
Medicine Man,Dorothy,6/24/16,rap
Sleep Now In the Fire,Rage Against The Machine,11/2/99,rap
Fight,Oleander,4/16/13,rap
Song 2 - 2012 Remaster,Blur,2/10/97,rap
Going to Hell,The Pretty Reckless,3/17/14,rap
Indestructible,Disturbed,4/29/08,rap
Story Of A Quarryman,Joe Bonamassa,2/24/09,rap
Sabotage,Beastie Boys,5/23/94,rap
Dark Nights,Dorothy,6/24/16,rap
Sweet Things,The Pretty Reckless,3/17/14,rap
Bad Blood - Alternate Mix,Ministry,3/30/99,rap
Calm Like A Bomb,Rage Against The Machine,2003,rap
Rake It Up,Yo Gotti,10/27/17,rap
Trophies,Young Money,1/1/14,rap
Nasty,DJ Drama,9/20/19,rap
Shoulder Lean (feat. T.I.),Young Dro,6/27/06,rap
Let's Go (feat. Big D & Twista),Trick Daddy,10/26/04,rap
